DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,F.N,-0.0968424
2017-12-31,1M,Equity Common Stock,AET.N,0.3360604
2017-12-31,1M,Equity Common Stock,FLR.N,-0.0271544
2017-12-31,1M,Equity Common Stock,GPN.N,0.4443048
2017-12-31,1M,Equity Common Stock,TPR.N,0.0985510
2017-12-31,1M,Equity Common Stock,RTN.N,0.3308733
2017-12-31,1M,Equity Common Stock,ALGN.OQ,0.5121903
2017-12-31,1M,Equity Common Stock,ANSS.OQ,0.3350169
2017-12-31,1M,Equity Common Stock,KMX.N,0.0243291
2017-12-31,1M,Equity Common Stock,ILMN.OQ,0.0966342
2017-12-31,1M,Equity Common Stock,ISRG.OQ,0.4066182
2017-12-31,1M,Equity Common Stock,FIS.N,0.2495161
2017-12-31,1M,Equity Common Stock,COL.N,0.2491880
2017-12-31,1M,Equity Common Stock,ZBH.N,0.0584899
2017-12-31,1M,Equity Common Stock,ACN.N,0.3381864
2017-12-31,1M,Equity Common Stock,ADS.N,0.0020436
2017-12-31,1M,Equity Common Stock,ANTM.N,0.2964879
2017-12-31,1M,Equity Common Stock,IVZ.N,0.0117548
2017-12-31,1M,Equity Common Stock,EQIX.OQ,0.4372181
2017-12-31,1M,Equity Common Stock,GRMN.OQ,0.0789603
2017-12-31,1M,Equity Common Stock,MNST.OQ,0.2515117
2017-12-31,1M,Equity Common Stock,MDLZ.OQ,0.1162591
2017-12-31,1M,Equity Common Stock,PFG.OQ,0.1637669
2017-12-31,1M,Equity Common Stock,WLTW.OQ,0.1637304
2017-12-31,1M,Equity Common Stock,AAP.N,-0.1072415
2017-12-31,1M,Equity Common Stock,CNC.N,0.2492334
2017-12-31,1M,Equity Common Stock,PRU.N,0.1307446
2017-12-31,1M,Equity Common Stock,NFLX.OQ,0.3748152
2017-12-31,1M,Equity Common Stock,SJM.N,0.1249116
2017-12-31,1M,Equity Common Stock,NDAQ.OQ,0.2948601
2017-12-31,1M,Equity Common Stock,XEC.N,0.0888930
2017-12-31,1M,Equity Common Stock,WYNN.OQ,0.0903695
2017-12-31,1M,Equity Common Stock,CMCSA.OQ,0.1867740
2017-12-31,1M,Equity Common Stock,CME.OQ,0.3734161
2017-12-31,1M,Equity Common Stock,STX.OQ,-0.0282234
2017-12-31,1M,Equity Common Stock,LKQ.OQ,0.2158885
2017-12-31,1M,Equity Common Stock,NRG.N,0.0702515
2017-12-31,1M,Equity Common Stock,AIZ.N,0.2140689
2017-12-31,1M,Equity Common Stock,CBRE.N,0.1185981
